date,topic,activity
2023-10-06,unix philosophy,design a command line tool that would enable a bash script
2023-09-22,offline branches,"plan for success, clean a messy repo"
2023-10-13,git plumbing,git plumbing experiment
2023-10-27,scripting,releases and packaging
2023-09-08,GitHub Basics,"syllabus quiz, setup"
2023-12-08,os,hardware simulation
2023-09-29,tool familiarity,"work on badges, self progress report"
2023-11-03,"remote, hpc","server work, batch scripts"
2023-11-17,Machine representation,bits and floats and number libraries
2023-11-10,Compiling,C compiling experiments
2023-10-20,git plumbing,"grade calculation script, self reflection"
2023-09-15,working at the terminal,"organization, setup kwl locally, manage issues"
2023-12-01,hardware,"self-reflection, work, project consultations"
